Script,mCap
SHANTIGEAR,4115
PAISALO,2823
REDINGTON,23553
UNICHEMLAB,4197
ACCELYA,2115
ICICIPRULI,91058
CRISIL,40562
KOTARISUG,313
BCONCEPTS,388
ESCORTS,35805
BSLGOLDETF,0
HINDCOPPER,25527
CONCORDBIO,21289
TARSONS,2019
GODHA,34
ESABINDIA,7942
SUNDARMHLD,10563
ANIKINDS,311
MODEFENCE,0
IRCTC,61175
LUMAXIND,3068
LOWVOL,0
INDIGOPNTS,5113
SDBL,3327
WELCORP,24093
ESTER,1289
MANCREDIT,409
OPTIEMUS,5949
ABSLPSE,0
ZEEL,13035
CONSUMIETF,0
AVANTEL,4142
CALSOFT,37
DBCORP,4772
UBL,53685
USK,219
EMMBI,223
JINDALPOLY,2694
BEDMUTHA,499
OLECTRA,9660
TVSSRICHAK,2442
GRAPHITE,10528
STANLEY,1972
AEGISLOG,27204
INTENTECH,218
ANDHRSUGAR,1035
NESCO,7228
IRFC,181659
PYRAMID,666
MOMENTUM50,0
BLACKBUCK,7739
LUXIND,4364
WELSPUNLIV,12577
EXCEL,133
JCHAC,4858
SHAILY,8212
SURAJEST,1777
TOLINS,646
IT,0
TIMETECHNO,10068
UFO,281
SUNTV,24345
CENTURYPLY,16885
PAVNAIND,610
VISHWARAJ,216
ELDEHSG,785
LIQUIDBEES,0
SIGNPOST,1016
BRIGADE,29129
BEML,18540
ADVENZYMES,3785
LOWVOL1,0
MADRASFERT,1490
PGHL,9813
AGARIND,1464
IEX,16641
ICICIGI,97131
TREJHARA,339
CROWN,226
TVSSCS,6417
AUTOIETF,0
NUVAMA,26335
MANORAMA,8382
ASTERDM,30300
GRINDWELL,18955
ATGL,73318
TRIVENI,9040
ADFFOODS,3171
ROHLTD,1067
RELCHEMQ,138
SAKHTISUG,313
SCODATUBES,1220
SCPL,336
MUKKA,918
MANALIPETC,1210
SPORTKING,1407
PNGJL,7995
ARENTERP,15
GREENLAM,6099
NGIL,47
AXSENSEX,0
TAINWALCHM,207
SETFNIF50,0
UPL,51868
PLATIND,1505
PVTBANKADD,0
DOMS,14774
COCHINSHIP,57189
GICRE,66867
ACUTAAS,8969
ACI,7782
SUNFLAG,5073
DYNPRO,352
PEARLPOLY,52
HSCL,23044
ITBEES,0
AONELIQUID,0
MOHEALTH,0
FINCABLES,14684
GESHIP,14237
EMSLIMITED,3324
LGBBROSLTD,4023
ELECTHERM,1528
SILVERIETF,0
COALINDIA,241257
SUMICHEM,24882
KALAMANDIR,2089
MID150BEES,0
INDUSINDBK,66317
NEULANDLAB,16276
MOCAPITAL,0
FACT,66977
IGARASHI,1524
VERANDA,1492
NTPCGREEN,90669
JUBLCPL,2519
IDEAFORGE,2533
LOWVOLIETF,0
GUJTHEM,3742
IRISDOREME,510
FCSSOFT,453
MIDHANI,8300
UMIYA-MRO,128
CPCAP,310
AUROPHARMA,66255
JAYAGROGN,755
FORCEMOT,18743
AVL,4758
STARTECK,283
JAYSREETEA,312
YASHO,2387
UTISXN50,0
EPL,7677
CARYSIL,2636
ABCAPITAL,66294
BASF,21783
DEEPAKNTR,25990
ISHANCH,98
VARDMNPOLY,545
ROUTE,6616
JISLJALEQS,4645
NATHBIOGEN,396
SOMATEX,154
CGPOWER,104864
EIHOTEL,22441
ARE&M,18199
KAMATHOTEL,673
MIDSMALL,0
SAGARDEEP,57
BAYERCROP,25156
SOUTHBANK,7786
VISAKAIND,715
MAHSEAMLES,9195
MOM100,0
INVENTURE,176
AMBER,22432
ASHOKA,5748
MCLEODRUSS,354
CYIENTDLM,3676
CONSOFINVT,645
EMAMIPAP,584
TOTAL,139
NEOGEN,4349
UFLEX,4400
IONEXCHANG,6623
LEXUS,71
SHIVAMILLS,67
JOCIL,143
WAAREEENER,80387
LOVABLE,147
BANARBEADS,82
IVC,294
RKEC,193
ALMONDZ,360
GOLDETF,0
DIVGIITTS,1888
NIITMTS,4913
QPOWER,4152
HARIOMPIPE,1243
THEINVEST,810
APEX,756
SCHAEFFLER,62615
ASTEC,1564
IMFA,4042
LIQUIDSBI,0
ARKADE,3703
MOM30IETF,0
PGEL,21845
PVSL,862
NAHARCAP,575
AVADHSUGAR,1034
IOB,72386
AHLEAST,253
GPIL,11885
MEDIASSIST,3490
GOCLCORP,1901
WINDLAS,1947
POLICYBZR,86176
ORIENTLTD,95
SHARDAMOTR,5402
SANDUMA,7625
EGOLD,0
SHRIPISTON,10790
NIF100IETF,0
MOQUALITY,0
GEEKAYWIRE,376
STYLAMIND,2881
MOINFRA,0
MUNJALSHOW,543
ORBTEXP,478
GUJGASLTD,33129
SOUTHWEST,463
RENUKA,6970
ZYDUSLIFE,97255
JBMA,16883
MIDCAPETF,0
UTKARSHBNK,2618
ANANDRATHI,17366
KIOCL,18141
GROWWLOVOL,0
FIEMIND,5176
MIRZAINT,426
NIRAJISPAT,19
NAHARSPING,992
BLISSGVS,1551
SOLARA,2333
JYOTICNC,26193
DBL,8452
GHCLTEXTIL,880
MOMOMENTUM,0
KOHINOOR,133
BARBEQUE,1260
CINELINE,318
DCM,199
SHRADHA,375
TRANSRAILL,8706
COROMANDEL,67280
NAVINFLUOR,23294
NAUKRI,96925
GILLANDERS,274
TAJGVK,2477
GUFICBIO,3693
BBNPPGOLD,0
IXIGO,7223
SANDESH,882
KEC,24183
DBSTOCKBRO,115
GODREJIND,44647
UMAEXPORTS,203
BALAJEE,388
NECCLTD,250
MGEL,464
HDFCLIQUID,0
DDEVPLSTIK,2868
CINEVISTA,137
KROSS,1203
KPITTECH,38124
TFCILTD,2056
ADANIGREEN,159727
DICIND,599
GOLDCASE,0
PGHH,43426
HDFCSML250,0
SHARDACROP,7482
CORALFINAC,184
PSUBANKADD,0
ENIL,697
GANGESSECU,179
BRITANNIA,134091
JTLIND,3106
NBIFIN,732
ONMOBILE,571
MANOMAY,305
AJMERA,3818
RATEGAIN,5111
ANANTRAJ,18922
WORTH,229
VIPIND,5925
GOLDIETF,0
HIRECT,2258
UDS,1981
DIXON,87334
HARSHA,3562
KRSNAA,2207
ABSLLIQUID,0
KPRMILL,37695
TBZ,1281
VRAJ,571
PARSVNATH,801
SKYGOLD,5298
GARFIBRES,8667
CMSINFO,7994
GODFRYPHLP,42853
UGARSUGAR,539
GROWWDEFNC,0
PASUPTAC,422
SELAN,1107
PITTIENG,3699
HDFCPVTBAN,0
APTUS,16153
EIMCOELECO,1421
IVP,191
JUBLPHARMA,18099
BECTORFOOD,8534
IPL,2359
SOBHA,16835
MOGSEC,0
GOLDTECH,347
SPECTRUM,2549
NV20,0
SPIC,1669
QUESS,4675
LLOYDSENGG,8262
GANECOS,3819
JASH,3451
GILT5YBEES,0
CUPID,2516
SPMLINFRA,1625
ICICIB22,0
NLCINDIA,31841
BANKPSU,0
AZAD,10698
BANKINDIA,55278
CYIENT,14741
DYCL,2187
BALAMINES,4700
SPENCERS,563
KSOLVES,826
VTL,13656
ASHIANA,3636
HOMEFIRST,13192
GODREJPROP,74206
UNIPARTS,1723
PREMEXPLN,3261
360ONE,46850
SBILIFE,180353
INDIANB,84353
CARRARO,2529
TTKHLTCARE,1802
MSPL,1596
SURANAT&P,263
JAIBALAJI,9597
PIIND,62834
ALOKINDS,9899
GUJALKALI,4293
TIMESGTY,155
ZENSARTECH,19862
RAINBOW,15044
PEL,25916
MOTILALOFS,49438
ONWARDTEC,710
HIKAL,4653
ADANIENSOL,103573
SULA,2585
MOTHERSON,107367
GVPTECH,165
PERSISTENT,93277
SYMPHONY,7617
AARON,424
HMAAGRO,1660
CENTUM,3555
FEDFINA,4373
MALUPAPER,67
VEEDOL,2833
GREENPANEL,3295
PTCIL,22642
APCL,408
MAWANASUG,404
ABBOTINDIA,67286
FDC,7909
CREST,1120
ESSENTIA,245
MUTHOOTCAP,489
CHEMFAB,1071
KAUSHALYA,32
ICICIBANK,1009921
OLAELEC,19404
TDPOWERSYS,8253
WOCKPHARMA,29526
AXISBNKETF,0
AETHER,10304
KPIGREEN,9727
JAGSNPHARM,1545
THEMISMED,1273
MPSLTD,4534
PDMJEPAPER,1061
GROWWRAIL,0
TANLA,8920
TATAELXSI,39691
NSIL,3555
SETF10GILT,0
HEMIPROP,3984
DELTACORP,2408
GTLINFRA,2422
GODREJAGRO,14872
ADANIPORTS,298726
INDOBORAX,629
TREL,823
AMBICAAGAR,49
IIFLCAPS,10477
PATELENG,3419
NIBE,2583
MANAKALUCO,174
GANESHBE,760
MEDANTA,32537
HDFCPSUBK,0
LFIC,66
RIIL,1470
VEDL,180181
MEDICAMEQ,560
HYUNDAI,156617
YATHARTH,5163
VIMTALABS,2147
CERA,9143
ASIANPAINT,217222
ABREL,27499
AFIL,338
KICL,2305
COSMOFIRST,3245
ALPHAGEO,175
DCW,2356
DMART,274774
COASTCORP,263
MANGALAM,128
KFINTECH,21403
ENTERO,4997
AWFIS,4859
NITCO,3076
DOLLAR,2232
MKPL,327
INSECTICID,2652
BLAL,896
JISLDVREQS,4560
MARUTI,400927
SONAMLTD,187
BAJAJHFL,101580
BLUEJET,16067
SANDHAR,3203
CSLFINANCE,764
MOREPENLAB,3519
ZODIACLOTH,283
RATNAVEER,818
TTKPRESTIG,8555
SHAHALLOYS,114
CASTROLIND,20846
EXICOM,2302
GROWWMOM50,0
SHIVALIK,843
DHUNINV,892
SHREECEM,106768
GRSE,37332
STAR,8123
MCLOUD,4596
CRAFTSMAN,12564
RUSTOMJEE,6966
HPAL,460
PATINTLOG,109
VASCONEQ,1178
RELIABLE,81
ABSLBANETF,0
KKCL,3050
SCILAL,2606
NHPC,85296
LIBAS,37
SAFARI,10466
SUDARSCHEM,10150
IDFNIFTYET,0
INDOCO,2578
SATIN,1710
SMALLCAP,0
NUCLEUS,3146
JYOTHYLAB,12304
OMAXE,2032
SILVER1,0
MANKIND,97510
ANUHPHR,1060
BAJAJHCARE,1677
HEIDELBERG,4464
INGERRAND,12319
INDOAMIN,1096
IEL,484
RBLBANK,13710
DEVIT,246
IDFCFIRSTB,52688
PLASTIBLEN,551
EPACK,3328
DTIL,204
GENESYS,2828
TCIEXP,2921
VSTIND,4840
AJOONI,56
ITDC,5125
AIIL,43154
INDOWIND,263
INDBANK,155
TECHM,152116
IOLCP,2557
EBBETF0430,0
JUSTDIAL,7515
WILLAMAGOR,40
ZFCVINDIA,25500
RUBYMILLS,807
DOLPHIN,1504
SBFC,11765
BAJAJHLDNG,154510
MON50EQUAL,0
HISARMETAL,105
PVRINOX,9498
KUANTUM,1000
SWIGGY,83928
BBTC,13619
JMA,215
COMMOIETF,0
VAL30IETF,0
SATINDLTD,1029
SBC,713
PROZONER,565
DVL,1158
SILVERADD,0
JETFREIGHT,68
ANMOL,104
GARUDA,1184
BANG,74
21STCENMGM,69
RADIANTCMS,686
PVP,624
BANSWRAS,492
PRITI,124
GULFOILLUB,6024
MUNJALAU,764
JAYNECOIND,3877
TEGA,10062
RELAXO,10486
ANURAS,12202
NV20IETF,0
UNITEDPOLY,456
KOTHARIPRO,513
BEL,295352
GSEC5IETF,0
CONSUMER,0
BALKRISIND,47488
UTINIFTETF,0
TBOTEK,13536
NIFTYBEES,0
JSFB,5253
SUPERSPIN,55
PSUBNKBEES,0
PROSTARM,674
BIRLAMONEY,1024
INFIBEAM,6256
ASIANTILES,1020
DENTA,778
SIS,5357
HDFCBSE500,0
HITECH,2044
SUPREME,361
DCMSRIND,1447
IRMENERGY,1232
XELPMOC,144
BAJAJ-AUTO,239523
VENTIVE,16572
NIFITETF,0
KIRLPNU,8774
SMLT,169
DRREDDY,112023
VIDHIING,2128
HINDUNILVR,540030
IFCI,16815
JLHL,9859
SOLARINDS,154430
KECL,928
MANBA,737
DREAMFOLKS,1424
MOSMALL250,0
TATACOMM,48590
VSTTILLERS,3272
HATSUN,21337
WIPL,129
NOCIL,3265
PVTBANIETF,0
NILASPACES,485
NSLNISP,11276
GOKULAGRO,4633
SESHAPAPER,1782
GIPCL,3123
CAPITALSFB,1353
NIF5GETF,0
SUNDROP,3263
WONDERLA,4152
ZIMLAB,521
MAHESHWARI,172
WEWIN,51
NAM-INDIA,47565
APOLLOPIPE,2108
PAYTM,57576
SNXT30BEES,0
SUMMITSEC,2322
AMDIND,99
GRAVITA,12649
AGIIL,2128
ULTRACEMCO,338897
SUNDARAM,100
NARMADA,64
FMGOETZE,2979
WSTCSTPAPR,3385
PREMIERPOL,543
SRM,1011
ALIVUS,12577
GOYALALUM,117
SIKKO,137
APOLSINHOT,335
ARIES,409
DIVOPPBEES,0
SASKEN,2169
SANGINITA,20
RBA,4527
MANGCHEFER,3356
MANAKCOAT,1354
MOLDTECH,460
STARPAPER,270
BHARTIHEXA,89623
