contract,entryTime,entryPrice,SlPrice,exitPrice1Lot,exitedlLotTrueFalse,ExitTime1Lot,allexit,allExitTime,allExitPrice,Comments,Pnl
BSE:SENSEX2550681000CE,2025-05-02 09:39:00,580.7,533,723.85,0,0,1,2025-05-02 09:43:00,533,2SlHit,-1908
BSE:SENSEX2550681100CE,2025-05-02 09:55:00,556.7,515.7,679.65,0,0,1,2025-05-02 10:10:00,587.9,2Lot15Min,1248
BSE:SENSEX2550680600PE,2025-05-02 11:12:00,452.35,413.4,569.15,0,0,1,2025-05-02 11:14:00,413.4,2SlHit,-1558
BSE:SENSEX2550680500PE,2025-05-02 11:31:00,484.5,445.05,602.85,0,0,1,2025-05-02 11:42:00,445.05,2SlHit,-1578
BSE:SENSEX2550680400PE,2025-05-02 12:06:00,501.25,465.55,608.4,0,0,1,2025-05-02 12:21:00,521.6,2Lot15Min,814.000000000001
BSE:SENSEX2550680200PE,2025-05-02 12:28:00,531,495.45,637.7,0,0,1,2025-05-02 12:36:00,495.45,2SlHit,-1422
BSE:SENSEX2550680300PE,2025-05-02 14:35:00,511.6,480.65,604.45,0,0,1,2025-05-02 14:36:00,480.65,2SlHit,-1238
