contract,entryTime,entryPrice,SlPrice,exitPrice1Lot,exitedlLotTrueFalse,ExitTime1Lot,allexit,allExitTime,allExitPrice,Comment,Pnl
BSE:SENSEX25APR79700PE,2025-04-25 09:46:00,528.65,483.45,664.3,1,2025-04-25 09:56:00,1,2025-04-25 10:01:00,858.25,1Lot15Min,9305
BSE:SENSEX25APR79000PE,2025-04-25 10:27:00,585.75,534.95,738.1,0,0,1,2025-04-25 10:41:00,534.95,2SlHit,-2032
BSE:SENSEX25APR78800PE,2025-04-25 11:18:00,513.55,481.65,609.3,0,0,1,2025-04-25 11:33:00,512.95,2Lot15Min,-23.9999999999964
BSE:SENSEX25APR78700PE,2025-04-25 11:47:00,534.2,506.35,617.8,0,0,1,2025-04-25 12:02:00,553,2Lot15Min,751.999999999998
BSE:SENSEX25APR79300CE,2025-04-25 13:35:00,513.25,479.75,613.8,0,0,1,2025-04-25 13:39:00,479.75,2SlHit,-1340
BSE:SENSEX25APR79400CE,2025-04-25 13:48:00,495,464.5,586.45,1,2025-04-25 13:57:00,1,2025-04-25 14:03:00,586,1Lot15Min,3649
