contract,entryTime,entryPrice,SlPrice,exitPrice1Lot,exitedlLotTrueFalse,ExitTime1Lot,allexit,allExitTime,allExitPrice,Comments,Pnl
BSE:SENSEX25APR79900PE,2025-04-24 11:50:00,525.3,513.65,560.2,0,0,1,2025-04-24 12:05:00,524.9,2Lot15Min,-15.9999999999991
BSE:SENSEX25APR79800PE,2025-04-24 12:13:00,488.5,478.3,519.05,0,0,1,2025-04-24 12:16:00,478.3,2SlHit,-408
BSE:SENSEX25APR79800PE,2025-04-24 12:29:00,493.55,484.2,521.6,0,0,1,2025-04-24 12:31:00,484.2,2SlHit,-373.999999999996
BSE:SENSEX25APR79800PE,2025-04-24 12:35:00,504.7,493.05,539.65,0,0,1,2025-04-24 12:38:00,493.05,2SlHit,-465.999999999999
BSE:SENSEX25APR79800PE,2025-04-24 13:01:00,484.35,473.95,515.6,0,0,1,2025-04-24 13:05:00,473.95,2SlHit,-415.999999999997
BSE:SENSEX25APR79800PE,2025-04-24 13:37:00,494.8,486.25,520.45,0,0,1,2025-04-24 13:41:00,486.25,2SlHit,-342
BSE:SENSEX25APR79800PE,2025-04-24 14:05:00,494.95,485.9,522.1,0,0,1,2025-04-24 14:20:00,497.25,2Lot15Min,92.0000000000005
BSE:SENSEX25APR79800PE,2025-04-24 14:33:00,514.05,504.8,541.85,1,2025-04-24 14:37:00,1,2025-04-24 14:48:00,531,1Lot15Min,895.000000000002
